x,y,V,Exact,Error
0.44,0.2,-1.45176,-1.45415,0.00238081
0.48,0.2,-1.30592,-1.30785,0.00193287
0.52,0.2,-1.16831,-1.16989,0.00158182
0.56,0.2,-1.03828,-1.03959,0.00130446
0.6,0.2,-0.915207,-0.916291,0.00108338
0.64,0.2,-0.798491,-0.799397,0.000905569
0.68,0.2,-0.687597,-0.688359,0.000761295
0.72,0.2,-0.582036,-0.58268,0.000643258
0.76,0.2,-0.481368,-0.481914,0.000545936
0.8,0.2,-0.385197,-0.385662,0.000465122
0.84,0.2,-0.293168,-0.293566,0.000397578
0.88,0.2,-0.204963,-0.205304,0.000340793
0.92,0.2,-0.120294,-0.120587,0.000292802
0.96,0.2,-0.0389047,-0.0391567,0.000252051
1,0.2,0.039438,0.0392207,0.000217303
1.04,0.2,0.114944,0.114756,0.000187564
1.08,0.2,0.187803,0.187641,0.000162028
1.12,0.2,0.258187,0.258047,0.00014004
1.16,0.2,0.326254,0.326133,0.000121057
1.2,0.2,0.392147,0.392042,0.000104634
1.24,0.2,0.455995,0.455905,9.03983e-05
1.28,0.2,0.517919,0.517841,7.80377e-05
1.32,0.2,0.578028,0.577961,6.72894e-05
1.36,0.2,0.636423,0.636365,5.79309e-05
1.4,0.2,0.693197,0.693147,4.97725e-05
1.44,0.2,0.748435,0.748393,4.26525e-05
1.48,0.2,0.802217,0.802181,3.64319e-05
1.52,0.2,0.854617,0.854586,3.09913e-05
1.56,0.2,0.905701,0.905675,2.62273e-05
1.6,0.2,0.955533,0.955511,2.20508e-05
1.64,0.2,1.00417,1.00416,1.83846e-05
1.68,0.2,1.05168,1.05166,1.51616e-05
