x,y,V,Exact,Error,Boundary
0.36,0.16,-1.86215,-1.86304,0.000888807,0
0.4,0.16,-1.68353,-1.68416,0.000628322,0
0.44,0.16,-1.51732,-1.51777,0.000447025,0
0.48,0.16,-1.36226,-1.36258,0.000318951,0
0.52,0.16,-1.21717,-1.2174,0.00022714,0
0.56,0.16,-1.081,-1.08117,0.000160415,0
0.6,0.16,-0.952843,-0.952955,0.000111317,0
0.64,0.16,-0.831875,-0.83195,7.47928e-05,0
0.68,0.16,-0.717393,-0.71744,4.73663e-05,0
0.72,0.16,-0.608779,-0.608806,2.6612e-05,0
0.76,0.16,-0.505496,-0.505506,1.08122e-05,0
0.8,0.16,-0.407068,-0.407066,-1.266e-06,0
0.84,0.16,-0.313079,-0.313068,-1.0519e-05,0
0.88,0.16,-0.223161,-0.223144,-1.76067e-05,0
0.92,0.16,-0.136989,-0.136966,-2.30203e-05,0
0.96,0.16,-0.0542721,-0.054245,-2.71293e-05,0
1,0.16,0.0252476,0.0252778,-3.02147e-05,0
1.04,0.16,0.101802,0.101834,-3.24923e-05,0
1.08,0.16,0.175598,0.175633,-3.41291e-05,0
1.12,0.16,0.246825,0.24686,-3.52555e-05,0
1.16,0.16,0.31565,0.315686,-3.59743e-05,0
1.2,0.16,0.382228,0.382265,-3.63671e-05,0
1.24,0.16,0.446699,0.446735,-3.64989e-05,0
1.28,0.16,0.509188,0.509224,-3.64222e-05,0
1.32,0.16,0.569813,0.569849,-3.61793e-05,0
1.36,0.16,0.62868,0.628715,-3.58049e-05,0
1.4,0.16,0.685886,0.685921,-3.5327e-05,0
1.44,0.16,0.741522,0.741556,-3.4769e-05,0
1.48,0.16,0.79567,0.795704,-3.41499e-05,0
1.52,0.16,0.848407,0.84844,-3.34856e-05,0
1.56,0.16,0.899803,0.899836,-3.27891e-05,0
1.6,0.16,0.949926,0.949958,-3.20714e-05,0
1.64,0.16,0.998834,0.998866,-3.13414e-05,0
1.68,0.16,1.04659,1.04662,-3.06065e-05,0
1.72,0.16,1.09323,1.09326,-2.98728e-05,0
1.76,0.16,1.13883,1.13886,-2.91451e-05,0
1.8,0.16,1.18342,1.18344,-2.84268e-05,0
1.84,0.16,1.22704,1.22706,-2.77204e-05,0
1.88,0.16,1.26973,1.26976,-2.70271e-05,0
1.92,0.16,1.31154,1.31157,-2.63467e-05,0
1.96,0.16,1.35251,1.35253,-2.56771e-05,0
2,0.16,5.54464,1.39267,4.15197,1
0,0.18,-13.778,-3.4296,-10.3484,1
0.04,0.18,-3.37548,-3.38139,0.00591712,0
0.08,0.18,-3.24253,-3.24934,0.00680417,0
0.12,0.18,-3.05562,-3.06187,0.00624863,0
0.16,0.18,-2.84228,-2.84731,0.00502728,0
0.2,0.18,-2.62178,-2.62555,0.00377202,0
0.24,0.18,-2.4052,-2.40795,0.00274187,0
0.28,0.18,-2.19806,-2.20003,0.00197238,0
0.32,0.18,-2.00254,-2.00396,0.00141956,0
0.36,0.18,-1.81913,-1.82016,0.00102724,0
0.4,0.18,-1.64743,-1.64818,0.000748529,0
0.44,0.18,-1.48667,-1.48722,0.000548995,0
0.48,0.18,-1.33596,-1.33636,0.000404609,0
0.52,0.18,-1.19438,-1.19468,0.000298891,0
0.56,0.18,-1.0611,-1.06132,0.000220568,0
0.6,0.18,-0.935312,-0.935474,0.000161886,0
0.64,0.18,-0.816328,-0.816445,0.000117462,0
0.68,0.18,-0.703518,-0.703602,8.35198e-05,0
0.72,0.18,-0.596326,-0.596384,5.73741e-05,0
0.76,0.18,-0.494259,-0.494296,3.70954e-05,0
0.8,0.18,-0.396881,-0.396902,2.12795e-05,0
0.84,0.18,-0.303803,-0.303811,8.89241e-06,0
0.88,0.18,-0.21468,-0.214679,-8.35574e-07,0
0.92,0.18,-0.129206,-0.129198,-8.48357e-06,0
0.96,0.18,-0.0471061,-0.0470916,-1.44918e-05,0
1,0.18,0.031867,0.0318862,-1.91982e-05,0
1.04,0.18,0.107934,0.107957,-2.28645e-05,0
1.08,0.18,0.181295,0.181321,-2.56952e-05,0
